1436 マザーズ (株)フィット（建設業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","576","598","576","596","1200","596"
"2019-01-07","596","614","596","608","1700","608"
"2019-01-08","608","618","601","618","4400","618"
"2019-01-09","608","624","608","620","800","620"
"2019-01-10","610","621","601","601","3400","601"
"2019-01-11","600","614","598","613","1200","613"
"2019-01-15","613","623","611","613","1000","613"
"2019-01-17","613","629","613","629","4000","629"
"2019-01-18","627","628","627","628","400","628"
"2019-01-21","644","644","629","631","1800","631"
"2019-01-22","626","636","626","626","3500","626"
"2019-01-23","625","629","620","629","400","629"
"2019-01-24","620","628","620","628","700","628"
"2019-01-25","630","647","630","646","5300","646"
"2019-01-28","645","647","635","645","1000","645"
"2019-01-29","640","642","630","642","500","642"
"2019-01-30","630","631","629","630","2600","630"
"2019-01-31","626","630","626","630","200","630"
"2019-02-01","625","638","625","638","400","638"
"2019-02-04","628","634","628","630","500","630"
"2019-02-05","638","685","620","685","7700","685"
"2019-02-06","683","746","637","647","28300","647"
"2019-02-07","637","637","619","622","6600","622"
"2019-02-08","626","628","619","619","1800","619"
"2019-02-12","625","628","623","623","400","623"
"2019-02-13","619","630","618","619","4000","619"
"2019-02-14","629","629","613","625","1600","625"
"2019-02-15","624","625","623","623","1900","623"
"2019-02-18","628","639","627","634","2100","634"
"2019-02-19","642","643","640","643","2200","643"
"2019-02-20","743","743","743","743","5500","743"
"2019-02-21","863","867","713","713","204100","713"
"2019-02-22","720","724","690","690","24600","690"
"2019-02-25","692","700","681","696","8200","696"
"2019-02-26","681","692","681","686","2500","686"
"2019-02-27","687","689","682","685","1700","685"
"2019-02-28","685","693","682","683","3100","683"
"2019-03-01","682","689","672","684","4800","684"
"2019-03-04","691","708","685","708","5600","708"
"2019-03-05","683","710","683","702","2600","702"
"2019-03-06","702","702","688","698","1200","698"
"2019-03-07","698","698","668","668","4300","668"
"2019-03-08","668","668","650","662","3700","662"
"2019-03-11","662","662","653","660","700","660"
"2019-03-12","660","699","660","699","3900","699"
"2019-03-13","699","700","681","681","2600","681"
"2019-03-14","681","698","681","682","1700","682"
"2019-03-15","697","697","697","697","200","697"
"2019-03-18","634","663","630","663","11300","663"
"2019-03-19","673","673","653","664","2100","664"
"2019-03-20","668","669","655","665","1700","665"
"2019-03-22","665","665","655","664","1400","664"
"2019-03-25","646","662","642","652","3300","652"
"2019-03-26","648","648","648","648","200","648"
"2019-03-27","653","665","645","665","1200","665"
"2019-03-28","667","668","657","657","1200","657"
"2019-03-29","658","674","658","674","1600","674"
"2019-04-01","674","695","674","681","1700","681"
"2019-04-02","671","671","666","666","2000","666"
"2019-04-03","666","666","666","666","300","666"
"2019-04-04","676","676","668","668","800","668"
"2019-04-05","668","682","667","670","900","670"
"2019-04-08","672","678","672","673","500","673"
"2019-04-09","670","680","670","678","1300","678"
"2019-04-10","668","669","668","669","600","669"
"2019-04-11","670","674","670","671","600","671"
"2019-04-12","670","670","668","668","500","668"
"2019-04-15","667","673","666","672","1600","672"
"2019-04-16","656","658","650","651","5900","651"
"2019-04-17","651","659","648","657","1900","657"
"2019-04-18","647","655","647","648","1000","648"
"2019-04-19","658","658","645","655","6900","655"
"2019-04-22","655","663","653","657","7200","657"
"2019-04-23","650","666","650","650","4000","650"
"2019-04-24","635","658","631","635","9600","635"
"2019-04-25","633","633","625","625","1900","625"
"2019-04-26","616","620","616","617","500","617"
"2019-05-07","621","639","621","635","600","635"
"2019-05-08","635","637","629","637","24200","637"
"2019-05-09","637","637","637","637","800","637"
"2019-05-10","626","637","626","637","1000","637"
"2019-05-13","637","637","614","614","1500","614"
"2019-05-14","564","599","554","588","5900","588"
"2019-05-15","580","580","579","579","500","579"
"2019-05-16","579","579","572","572","500","572"
"2019-05-17","580","599","580","597","1900","597"
"2019-05-20","590","590","576","576","1000","576"
"2019-05-21","576","586","561","561","1400","561"
"2019-05-22","561","573","560","573","2200","573"
"2019-05-23","572","573","568","573","1400","573"
"2019-05-24","561","572","561","561","2000","561"
"2019-05-27","559","559","557","558","2100","558"
"2019-05-28","560","564","555","556","1500","556"
"2019-05-29","556","567","550","565","2500","565"
"2019-05-30","565","565","564","564","600","564"
"2019-05-31","554","554","549","549","600","549"
"2019-06-03","550","556","547","547","1700","547"
"2019-06-04","547","557","541","552","1500","552"
"2019-06-05","555","555","544","545","1100","545"
"2019-06-06","545","546","545","545","600","545"
"2019-06-07","543","554","543","544","600","544"
"2019-06-10","544","558","544","547","2200","547"
"2019-06-11","558","560","558","558","1400","558"
"2019-06-12","558","561","552","554","1200","554"
"2019-06-13","540","555","540","551","5900","551"
"2019-06-14","562","564","555","564","4300","564"
"2019-06-17","544","551","530","546","11100","546"
"2019-06-18","546","546","534","534","2400","534"
"2019-06-19","539","539","528","528","1600","528"
"2019-06-20","524","535","524","532","3200","532"
"2019-06-21","534","547","532","535","2500","535"
"2019-06-24","525","543","523","542","5800","542"
"2019-06-25","524","529","520","524","6100","524"
"2019-06-26","527","534","526","534","2400","534"
"2019-06-27","524","536","523","535","3100","535"
"2019-06-28","535","537","527","527","3500","527"
"2019-07-01","532","532","532","532","200","532"
"2019-07-02","533","535","533","534","1300","534"
"2019-07-03","536","536","530","530","900","530"
"2019-07-04","530","539","530","536","2200","536"
"2019-07-05","536","536","535","535","700","535"
"2019-07-08","537","537","532","532","800","532"
"2019-07-09","532","532","531","531","400","531"
"2019-07-10","537","537","530","530","900","530"
"2019-07-11","530","530","526","528","1400","528"
"2019-07-12","529","537","528","537","1100","537"
"2019-07-16","529","529","528","528","500","528"
"2019-07-17","528","531","527","531","400","531"
"2019-07-18","527","527","526","527","600","527"
"2019-07-19","526","544","526","543","6100","543"
"2019-07-22","538","568","538","568","13900","568"
"2019-07-23","562","562","556","556","600","556"
"2019-07-24","550","550","527","542","5300","542"
"2019-07-25","549","551","545","545","500","545"
"2019-07-26","553","645","542","645","226500","645"
"2019-07-29","720","730","646","647","284700","647"
"2019-07-30","627","645","612","640","61000","640"
"2019-07-31","620","640","596","640","33600","640"
"2019-08-01","622","623","599","609","9100","609"
"2019-08-02","609","609","584","586","3600","586"
"2019-08-05","586","590","561","562","6100","562"
"2019-08-06","545","573","531","570","4900","570"
"2019-08-07","559","568","558","568","600","568"
"2019-08-08","545","551","544","548","5900","548"
"2019-08-09","535","535","522","533","2200","533"
"2019-08-13","550","563","540","563","4300","563"
"2019-08-14","553","560","538","539","2200","539"
"2019-08-15","529","539","523","539","2400","539"
"2019-08-16","523","527","523","525","2100","525"
"2019-08-19","525","529","523","523","1600","523"
"2019-08-20","524","525","521","525","2900","525"
"2019-08-21","512","515","493","507","8700","507"
"2019-08-22","504","504","500","500","1900","500"
"2019-08-23","500","500","496","496","1000","496"
"2019-08-26","495","496","488","488","2900","488"
"2019-08-27","479","487","478","480","4400","480"
"2019-08-28","480","484","476","484","2200","484"
"2019-08-29","490","490","470","474","3900","474"
"2019-08-30","473","485","461","477","6000","477"
"2019-09-02","490","499","490","499","2600","499"
"2019-09-03","504","504","500","501","2700","501"
"2019-09-04","501","502","498","498","1400","498"
"2019-09-05","498","501","491","498","1500","498"
"2019-09-06","504","504","489","489","1700","489"
"2019-09-09","492","493","492","492","300","492"
"2019-09-10","492","496","492","496","800","496"
"2019-09-11","495","500","495","500","1300","500"
"2019-09-12","500","500","497","500","1700","500"
"2019-09-13","499","511","499","511","3100","511"
"2019-09-17","491","502","491","497","3600","497"
"2019-09-18","497","497","470","483","5000","483"
"2019-09-19","492","563","492","544","190700","544"
"2019-09-20","538","543","519","531","33500","531"
"2019-09-24","522","523","508","514","7900","514"
"2019-09-25","526","527","507","515","7100","515"
"2019-09-26","512","513","508","513","1300","513"
"2019-09-27","508","513","507","510","1900","510"
"2019-09-30","510","511","509","509","1200","509"
"2019-10-01","510","514","510","514","2000","514"
"2019-10-02","516","516","507","507","2000","507"
"2019-10-03","508","512","501","507","8800","507"
"2019-10-04","506","511","506","511","500","511"
"2019-10-07","506","506","506","506","300","506"
"2019-10-08","506","512","506","506","1700","506"
"2019-10-09","506","506","506","506","300","506"
"2019-10-10","506","508","506","506","1100","506"
"2019-10-11","506","506","500","500","1500","500"
"2019-10-15","501","506","498","498","4300","498"
"2019-10-16","499","507","499","501","1600","501"
"2019-10-17","499","499","495","495","8700","495"
"2019-10-18","500","501","500","501","2100","501"
"2019-10-21","500","500","497","497","600","497"
"2019-10-23","495","495","491","492","1900","492"
"2019-10-24","492","499","492","492","2800","492"
"2019-10-25","493","495","488","495","4300","495"
"2019-10-28","495","498","488","498","2100","498"
"2019-10-29","501","501","492","499","3200","499"
"2019-10-30","500","501","500","500","900","500"
"2019-10-31","496","496","495","495","300","495"
"2019-11-01","492","494","492","494","300","494"
"2019-11-05","499","500","495","495","1200","495"
"2019-11-06","502","502","496","500","900","500"
"2019-11-07","500","503","500","500","1000","500"
"2019-11-08","500","600","500","514","50700","514"
"2019-11-11","533","614","525","613","75500","613"
"2019-11-12","573","630","566","630","28700","630"
"2019-11-13","620","620","592","595","6000","595"
"2019-11-14","612","612","568","588","5600","588"
"2019-11-15","588","588","562","563","2200","563"
"2019-11-18","564","663","564","663","110900","663"
"2019-11-19","683","712","640","662","52100","662"
"2019-11-20","652","679","626","643","16900","643"
"2019-11-21","633","663","622","645","10400","645"
"2019-11-22","626","648","626","648","2300","648"
"2019-11-25","648","648","634","640","2700","640"
"2019-11-26","644","644","628","635","1900","635"
"2019-11-27","641","641","630","630","700","630"
"2019-11-28","625","625","581","582","9100","582"
"2019-11-29","590","598","570","570","8900","570"
"2019-12-02","570","576","567","572","3200","572"
"2019-12-04","568","568","562","562","1900","562"
"2019-12-05","565","569","565","568","2800","568"
"2019-12-06","569","578","569","578","3000","578"
"2019-12-09","582","587","580","586","2000","586"
"2019-12-10","591","686","589","686","75800","686"
"2019-12-11","766","786","693","720","753100","720"
"2019-12-12","694","695","660","661","51200","661"
"2019-12-13","635","658","634","640","31800","640"
"2019-12-16","712","735","680","721","91400","721"
"2019-12-18","696","696","660","669","8600","669"
"2019-12-19","655","659","642","650","7800","650"
"2019-12-20","651","659","650","650","7600","650"
