2424 東証1部 (株)ブラス（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","525","558","522","558","6400","558"
"2019-01-07","577","577","559","563","4100","563"
"2019-01-08","563","571","552","553","3800","553"
"2019-01-09","573","575","560","563","3600","563"
"2019-01-10","564","575","564","575","1600","575"
"2019-01-11","575","585","572","585","3200","585"
"2019-01-15","585","585","573","573","3200","573"
"2019-01-16","573","576","568","569","2000","569"
"2019-01-17","569","570","559","560","3500","560"
"2019-01-18","561","567","550","557","7500","557"
"2019-01-21","564","568","557","563","45700","563"
"2019-01-22","593","593","570","571","3300","571"
"2019-01-23","589","590","573","575","5000","575"
"2019-01-24","571","580","571","572","4700","572"
"2019-01-25","568","577","568","573","3100","573"
"2019-01-28","573","573","566","566","4800","566"
"2019-01-29","567","567","558","565","2100","565"
"2019-01-30","570","570","524","532","6200","532"
"2019-01-31","536","566","536","549","4800","549"
"2019-02-01","547","555","540","548","5300","548"
"2019-02-04","549","563","549","563","3300","563"
"2019-02-05","563","579","556","566","8900","566"
"2019-02-06","564","585","558","579","9600","579"
"2019-02-07","579","594","561","586","5900","586"
"2019-02-08","577","589","576","579","1900","579"
"2019-02-12","578","578","555","559","8500","559"
"2019-02-13","559","575","557","568","5900","568"
"2019-02-14","570","576","569","571","2500","571"
"2019-02-15","571","586","568","586","4000","586"
"2019-02-18","590","595","586","588","4300","588"
"2019-02-19","588","588","575","575","4800","575"
"2019-02-20","584","584","577","578","2000","578"
"2019-02-21","578","586","578","585","1400","585"
"2019-02-22","595","595","581","582","3100","582"
"2019-02-25","590","594","583","585","1800","585"
"2019-02-26","585","593","584","584","3800","584"
"2019-02-27","596","599","592","593","4700","593"
"2019-02-28","593","599","591","597","4300","597"
"2019-03-01","594","599","592","594","5400","594"
"2019-03-04","594","606","594","604","9600","604"
"2019-03-05","604","609","598","603","3400","603"
"2019-03-06","609","610","602","610","2100","610"
"2019-03-07","602","607","602","603","2700","603"
"2019-03-08","601","603","566","574","9700","574"
"2019-03-11","575","581","568","573","5100","573"
"2019-03-12","573","577","570","577","3500","577"
"2019-03-13","573","593","573","575","2600","575"
"2019-03-14","589","589","579","586","2600","586"
"2019-03-15","599","599","572","572","6700","572"
"2019-03-18","577","597","577","592","9600","592"
"2019-03-19","592","601","582","601","4700","601"
"2019-03-20","601","601","584","596","6600","596"
"2019-03-22","586","598","585","598","5400","598"
"2019-03-25","596","596","585","592","6700","592"
"2019-03-26","600","611","597","611","6500","611"
"2019-03-27","607","620","607","619","3400","619"
"2019-03-28","619","619","587","606","9200","606"
"2019-03-29","608","609","600","608","2800","608"
"2019-04-01","615","615","603","613","5700","613"
"2019-04-02","620","624","618","620","2300","620"
"2019-04-03","620","624","615","622","3600","622"
"2019-04-04","621","629","617","628","5500","628"
"2019-04-05","630","641","623","635","10500","635"
"2019-04-08","639","642","625","625","7000","625"
"2019-04-09","625","629","621","621","2500","621"
"2019-04-10","621","621","604","606","7100","606"
"2019-04-11","612","612","606","606","3600","606"
"2019-04-12","606","607","600","601","6500","601"
"2019-04-15","601","605","600","601","6900","601"
"2019-04-16","600","601","590","590","8000","590"
"2019-04-17","593","599","593","599","2600","599"
"2019-04-18","599","600","590","592","4700","592"
"2019-04-19","595","599","592","592","4600","592"
"2019-04-22","592","598","591","598","6400","598"
"2019-04-23","600","608","600","606","5100","606"
"2019-04-24","601","606","596","597","6500","597"
"2019-04-25","597","645","593","645","37500","645"
"2019-04-26","629","629","619","623","18600","623"
"2019-05-07","633","633","626","632","7500","632"
"2019-05-08","632","632","623","629","4800","629"
"2019-05-09","633","633","627","630","6100","630"
"2019-05-10","630","632","622","622","7800","622"
"2019-05-13","623","623","615","617","5000","617"
"2019-05-14","608","608","601","608","4300","608"
"2019-05-15","607","607","601","605","3000","605"
"2019-05-16","605","608","602","605","2700","605"
"2019-05-17","605","614","604","614","4200","614"
"2019-05-20","619","621","609","614","4800","614"
"2019-05-21","613","614","608","610","3700","610"
"2019-05-22","611","614","611","613","1700","613"
"2019-05-23","612","613","611","613","3200","613"
"2019-05-24","615","615","609","609","4600","609"
"2019-05-27","618","618","610","613","1900","613"
