3421 東証1部 (株)稲葉製作所（金属製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","1221","1250","1206","1249","22700","1249"
"2019-01-07","1270","1293","1259","1268","24600","1268"
"2019-01-08","1277","1288","1265","1285","19600","1285"
"2019-01-09","1298","1298","1285","1285","12700","1285"
"2019-01-10","1286","1290","1269","1290","14000","1290"
"2019-01-11","1286","1294","1279","1284","12200","1284"
"2019-01-15","1287","1287","1252","1260","37800","1260"
"2019-01-16","1274","1274","1259","1264","12400","1264"
"2019-01-17","1261","1267","1250","1259","25000","1259"
"2019-01-18","1260","1279","1259","1277","46400","1277"
"2019-01-21","1280","1284","1271","1280","33300","1280"
"2019-01-22","1280","1288","1276","1288","18600","1288"
"2019-01-23","1279","1280","1271","1275","41900","1275"
"2019-01-24","1273","1275","1261","1274","40600","1274"
"2019-01-25","1274","1286","1271","1274","80100","1274"
"2019-01-28","1280","1280","1258","1258","158400","1258"
"2019-01-29","1243","1244","1214","1234","50000","1234"
"2019-01-30","1231","1233","1219","1222","28800","1222"
"2019-01-31","1228","1232","1220","1231","23900","1231"
"2019-02-01","1230","1240","1221","1238","18600","1238"
"2019-02-04","1240","1253","1237","1249","26900","1249"
"2019-02-05","1256","1257","1231","1233","16800","1233"
"2019-02-06","1236","1244","1228","1228","18600","1228"
"2019-02-07","1226","1238","1211","1226","18700","1226"
"2019-02-08","1230","1236","1216","1222","19300","1222"
"2019-02-12","1219","1255","1219","1244","28700","1244"
"2019-02-13","1255","1255","1231","1242","12600","1242"
"2019-02-14","1242","1252","1240","1251","13100","1251"
"2019-02-15","1250","1252","1239","1251","8100","1251"
"2019-02-18","1260","1268","1245","1268","16300","1268"
"2019-02-19","1267","1274","1260","1260","17600","1260"
"2019-02-20","1261","1288","1261","1286","19700","1286"
"2019-02-21","1285","1287","1267","1267","11700","1267"
"2019-02-22","1267","1267","1239","1247","16300","1247"
"2019-02-25","1260","1271","1260","1267","11200","1267"
"2019-02-26","1278","1278","1262","1276","16000","1276"
"2019-02-27","1276","1289","1264","1269","20100","1269"
"2019-02-28","1269","1287","1265","1285","18100","1285"
"2019-03-01","1285","1295","1276","1292","18500","1292"
"2019-03-04","1510","1510","1374","1400","249000","1400"
"2019-03-05","1407","1407","1370","1383","43400","1383"
"2019-03-06","1370","1373","1338","1343","55300","1343"
"2019-03-07","1357","1357","1326","1338","26800","1338"
"2019-03-08","1331","1339","1320","1334","27700","1334"
"2019-03-11","1325","1363","1325","1360","22800","1360"
"2019-03-12","1369","1386","1368","1378","32200","1378"
"2019-03-13","1383","1393","1356","1356","32900","1356"
"2019-03-14","1386","1388","1364","1380","24600","1380"
"2019-03-15","1364","1379","1363","1364","28700","1364"
"2019-03-18","1378","1398","1375","1398","24300","1398"
"2019-03-19","1396","1404","1388","1400","19800","1400"
"2019-03-20","1399","1407","1387","1395","22500","1395"
"2019-03-22","1405","1405","1375","1403","15100","1403"
"2019-03-25","1380","1392","1372","1372","30800","1372"
"2019-03-26","1392","1424","1392","1424","52500","1424"
"2019-03-27","1424","1429","1409","1426","17400","1426"
"2019-03-28","1426","1427","1394","1397","16700","1397"
"2019-03-29","1412","1414","1396","1402","9500","1402"
"2019-04-01","1423","1438","1414","1424","22200","1424"
"2019-04-02","1435","1435","1410","1428","18700","1428"
"2019-04-03","1428","1434","1412","1414","12800","1414"
"2019-04-04","1416","1417","1408","1417","7700","1417"
"2019-04-05","1410","1422","1402","1417","18100","1417"
"2019-04-08","1417","1429","1417","1424","8200","1424"
"2019-04-09","1425","1428","1411","1419","14800","1419"
"2019-04-10","1428","1428","1411","1421","19700","1421"
"2019-04-11","1420","1420","1411","1417","10600","1417"
"2019-04-12","1430","1430","1418","1430","15400","1430"
"2019-04-15","1434","1442","1424","1427","25800","1427"
"2019-04-16","1428","1436","1412","1419","15900","1419"
"2019-04-17","1416","1420","1407","1419","10300","1419"
"2019-04-18","1424","1424","1404","1409","11700","1409"
"2019-04-19","1421","1424","1407","1409","7200","1409"
"2019-04-22","1412","1430","1406","1430","12000","1430"
"2019-04-23","1428","1450","1427","1450","33400","1450"
"2019-04-24","1450","1450","1429","1434","16900","1434"
"2019-04-25","1434","1442","1425","1432","13300","1432"
"2019-04-26","1428","1428","1406","1418","14100","1418"
"2019-05-07","1431","1431","1408","1413","13200","1413"
"2019-05-08","1413","1430","1407","1424","29400","1424"
"2019-05-09","1424","1429","1403","1421","28300","1421"
"2019-05-10","1432","1432","1412","1416","17500","1416"
"2019-05-13","1415","1421","1403","1406","13700","1406"
"2019-05-14","1398","1410","1386","1410","14700","1410"
"2019-05-15","1410","1414","1394","1409","11700","1409"
"2019-05-16","1414","1443","1404","1441","28400","1441"
"2019-05-17","1411","1438","1409","1434","42100","1434"
"2019-05-20","1429","1439","1424","1430","18400","1430"
"2019-05-21","1429","1438","1424","1437","10900","1437"
"2019-05-22","1440","1443","1434","1438","12400","1438"
"2019-05-23","1438","1445","1438","1439","10800","1439"
"2019-05-24","1438","1441","1430","1437","16700","1437"
"2019-05-27","1444","1449","1440","1444","16400","1444"
"2019-05-28","1447","1447","1438","1438","14100","1438"
"2019-05-29","1438","1438","1422","1428","23700","1428"
"2019-05-30","1424","1424","1404","1405","34400","1405"
"2019-05-31","1407","1408","1390","1391","19300","1391"
"2019-06-03","1380","1389","1372","1380","18800","1380"
"2019-06-04","1390","1391","1370","1380","20400","1380"
"2019-06-05","1396","1407","1381","1407","23800","1407"
"2019-06-06","1397","1409","1397","1400","24200","1400"
"2019-06-07","1406","1420","1396","1413","25400","1413"
"2019-06-10","1419","1427","1416","1421","49300","1421"
"2019-06-11","1425","1425","1409","1412","27800","1412"
"2019-06-12","1409","1419","1408","1408","19400","1408"
"2019-06-13","1404","1450","1404","1436","38300","1436"
"2019-06-14","1479","1479","1451","1464","112500","1464"
"2019-06-17","1470","1472","1455","1458","34200","1458"
"2019-06-18","1458","1464","1431","1431","20700","1431"
"2019-06-19","1444","1453","1433","1452","55300","1452"
"2019-06-20","1455","1462","1444","1444","50700","1444"
"2019-06-21","1449","1456","1437","1450","33200","1450"
"2019-06-24","1450","1450","1422","1422","57300","1422"
"2019-06-25","1425","1440","1422","1440","17700","1440"
"2019-06-26","1439","1463","1428","1428","50300","1428"
"2019-06-27","1430","1445","1427","1445","20800","1445"
"2019-06-28","1436","1444","1415","1415","48700","1415"
"2019-07-01","1430","1452","1427","1448","35400","1448"
"2019-07-02","1450","1467","1450","1465","52700","1465"
"2019-07-03","1469","1485","1469","1485","68800","1485"
"2019-07-04","1487","1496","1487","1494","30000","1494"
"2019-07-05","1495","1500","1493","1500","26300","1500"
"2019-07-08","1493","1500","1482","1482","43400","1482"
"2019-07-09","1486","1491","1477","1477","57600","1477"
"2019-07-10","1470","1487","1463","1482","33500","1482"
"2019-07-11","1486","1498","1483","1498","33700","1498"
"2019-07-12","1497","1500","1496","1498","25200","1498"
"2019-07-16","1500","1500","1472","1473","48800","1473"
"2019-07-17","1475","1475","1453","1459","39800","1459"
"2019-07-18","1467","1467","1435","1439","50700","1439"
"2019-07-19","1440","1454","1439","1453","33200","1453"
"2019-07-22","1455","1459","1448","1453","26500","1453"
"2019-07-23","1455","1464","1455","1457","25800","1457"
"2019-07-24","1458","1469","1458","1464","40000","1464"
"2019-07-25","1463","1470","1459","1463","27300","1463"
"2019-07-26","1462","1462","1455","1461","46400","1461"
"2019-07-29","1464","1479","1460","1479","130000","1479"
"2019-07-30","1451","1453","1417","1421","167700","1421"
"2019-07-31","1409","1411","1391","1393","39300","1393"
"2019-08-01","1388","1402","1380","1396","23700","1396"
"2019-08-02","1382","1386","1365","1371","30000","1371"
"2019-08-05","1370","1371","1338","1350","30300","1350"
"2019-08-06","1320","1350","1309","1350","30600","1350"
"2019-08-07","1345","1362","1336","1357","16200","1357"
"2019-08-08","1354","1366","1350","1364","12900","1364"
"2019-08-09","1360","1374","1354","1374","10800","1374"
"2019-08-13","1356","1362","1344","1361","19800","1361"
"2019-08-14","1380","1380","1362","1380","14900","1380"
"2019-08-15","1353","1370","1348","1370","12400","1370"
"2019-08-16","1374","1374","1357","1366","11800","1366"
"2019-08-19","1362","1374","1359","1366","8400","1366"
"2019-08-20","1371","1387","1367","1387","12400","1387"
"2019-08-21","1376","1385","1370","1372","10800","1372"
"2019-08-22","1373","1373","1351","1363","12000","1363"
"2019-08-23","1353","1357","1338","1344","6700","1344"
"2019-08-26","1336","1336","1307","1310","24800","1310"
"2019-08-27","1320","1331","1312","1325","18000","1325"
"2019-08-28","1322","1325","1314","1322","10900","1322"
"2019-08-29","1321","1321","1303","1315","15800","1315"
"2019-08-30","1315","1346","1315","1346","17200","1346"
"2019-09-02","1324","1345","1324","1338","9100","1338"
"2019-09-03","1338","1366","1338","1360","10100","1360"
"2019-09-04","1359","1360","1347","1348","9100","1348"
"2019-09-05","1349","1377","1349","1377","17900","1377"
"2019-09-06","1370","1378","1368","1378","9100","1378"
"2019-09-10","1387","1405","1382","1399","29000","1399"
"2019-09-11","1400","1430","1399","1430","30100","1430"
"2019-09-12","1429","1444","1422","1429","44500","1429"
"2019-09-13","1414","1457","1402","1457","82800","1457"
"2019-09-17","1432","1452","1429","1442","23900","1442"
"2019-09-18","1432","1442","1420","1442","18500","1442"
"2019-09-19","1436","1461","1436","1459","32300","1459"
"2019-09-20","1458","1458","1443","1458","14700","1458"
"2019-09-24","1450","1461","1449","1458","18300","1458"
"2019-09-25","1453","1463","1447","1459","17000","1459"
"2019-09-26","1460","1465","1452","1463","26400","1463"
"2019-09-27","1448","1465","1443","1459","13200","1459"
"2019-09-30","1449","1450","1430","1433","13600","1433"
"2019-10-01","1441","1460","1441","1457","11000","1457"
"2019-10-02","1443","1460","1443","1454","10600","1454"
"2019-10-03","1442","1444","1427","1444","12900","1444"
"2019-10-04","1437","1437","1423","1435","7500","1435"
"2019-10-07","1435","1435","1412","1424","9200","1424"
"2019-10-08","1428","1434","1417","1430","8200","1430"
"2019-10-09","1421","1435","1416","1423","16900","1423"
"2019-10-10","1426","1426","1404","1421","7500","1421"
"2019-10-11","1421","1423","1403","1413","7500","1413"
"2019-10-15","1450","1450","1422","1436","15400","1436"
"2019-10-16","1443","1446","1432","1446","11000","1446"
"2019-10-17","1431","1442","1427","1432","11900","1432"
"2019-10-18","1432","1438","1425","1429","7000","1429"
"2019-10-21","1427","1435","1427","1432","6600","1432"
"2019-10-23","1429","1435","1415","1423","7900","1423"
"2019-10-24","1423","1448","1420","1448","18000","1448"
"2019-10-25","1448","1448","1430","1435","6900","1435"
"2019-10-28","1450","1450","1432","1434","8300","1434"
"2019-10-29","1449","1455","1437","1445","11300","1445"
"2019-10-30","1455","1482","1440","1482","39100","1482"
"2019-10-31","1482","1482","1452","1465","10000","1465"
"2019-11-01","1467","1468","1453","1464","8300","1464"
"2019-11-05","1464","1477","1457","1474","19500","1474"
"2019-11-06","1479","1479","1463","1470","11500","1470"
"2019-11-07","1470","1470","1461","1464","3800","1464"
"2019-11-08","1470","1475","1457","1472","13300","1472"
"2019-11-11","1472","1477","1463","1466","12800","1466"
"2019-11-12","1466","1466","1450","1455","10000","1455"
"2019-11-13","1460","1462","1446","1452","6500","1452"
"2019-11-14","1446","1457","1444","1448","11900","1448"
"2019-11-15","1467","1467","1444","1456","9800","1456"
"2019-11-18","1456","1461","1448","1457","10500","1457"
"2019-11-19","1452","1456","1446","1451","5700","1451"
"2019-11-20","1445","1445","1434","1434","10700","1434"
"2019-11-21","1433","1456","1423","1456","10600","1456"
"2019-11-22","1456","1456","1443","1454","5900","1454"
"2019-11-25","1452","1455","1444","1447","5400","1447"
"2019-11-26","1453","1453","1444","1444","5100","1444"
"2019-11-27","1440","1450","1440","1446","3900","1446"
"2019-11-28","1446","1446","1434","1437","8100","1437"
"2019-11-29","1434","1439","1423","1425","15400","1425"
"2019-12-02","1436","1442","1426","1431","11400","1431"
"2019-12-04","1432","1452","1416","1451","11100","1451"
"2019-12-05","1451","1460","1444","1460","10200","1460"
"2019-12-06","1456","1459","1448","1459","7100","1459"
"2019-12-09","1465","1467","1452","1464","9200","1464"
"2019-12-10","1459","1467","1456","1467","6500","1467"
"2019-12-11","1463","1467","1460","1466","9000","1466"
"2019-12-12","1466","1466","1461","1462","13900","1462"
