3665 東証1部 (株)エニグモ（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2011","2031","1919","1946","501000","973"
"2019-01-07","2043","2059","1955","1990","359100","995"
"2019-01-08","1979","2007","1941","2007","277200","1003.5"
"2019-01-09","2034","2108","2034","2093","296400","1046.5"
"2019-01-10","2090","2233","2086","2207","500600","1103.5"
"2019-01-11","2196","2298","2190","2209","387100","1104.5"
"2019-01-15","2194","2383","2182","2383","316900","1191.5"
"2019-01-16","2378","2411","2295","2374","293500","1187"
"2019-01-17","2374","2395","2296","2329","230700","1164.5"
"2019-01-18","2372","2422","2333","2417","164400","1208.5"
"2019-01-21","2436","2454","2272","2287","279700","1143.5"
"2019-01-22","2279","2279","2204","2251","202400","1125.5"
"2019-01-23","2217","2277","2167","2240","244000","1120"
"2019-01-24","2256","2283","2173","2262","258800","1131"
"2019-01-25","2241","2245","2037","2182","436300","1091"
"2019-01-28","2169","2280","2161","2256","259700","1128"
"2019-01-29","2266","2370","2242","2339","428700","1169.5"
"2019-01-30","2321","2390","2267","2276","327200","1138"
"2019-01-31","2326","2480","2301","2442","592800","1221"
"2019-02-01","2478","2515","2363","2380","333600","1190"
"2019-02-04","2377","2420","2312","2415","184400","1207.5"
"2019-02-05","2432","2433","2252","2280","366100","1140"
"2019-02-06","2307","2343","2265","2289","120400","1144.5"
"2019-02-07","2278","2278","2179","2201","303800","1100.5"
"2019-02-08","2181","2252","2159","2210","204000","1105"
"2019-02-12","2244","2296","2199","2230","195100","1115"
"2019-02-13","2241","2314","2241","2282","220100","1141"
"2019-02-14","2309","2312","2232","2265","152700","1132.5"
"2019-02-15","2235","2238","2175","2220","148100","1110"
"2019-02-18","2270","2270","2186","2251","220400","1125.5"
"2019-02-19","2260","2286","2212","2272","120100","1136"
"2019-02-20","2272","2272","2163","2171","303600","1085.5"
"2019-02-21","2161","2190","2080","2163","276800","1081.5"
"2019-02-22","2163","2163","2100","2116","183300","1058"
"2019-02-25","2133","2243","2106","2132","266000","1066"
"2019-02-26","2123","2182","2082","2178","217300","1089"
"2019-02-27","2174","2236","2153","2190","186000","1095"
"2019-02-28","2199","2203","2110","2119","205200","1059.5"
"2019-03-01","2138","2178","2134","2173","127900","1086.5"
"2019-03-04","2180","2219","2157","2172","156200","1086"
"2019-03-05","2143","2189","2129","2178","120300","1089"
"2019-03-06","2162","2242","2160","2180","166600","1090"
"2019-03-07","2180","2191","2112","2162","189300","1081"
"2019-03-08","2150","2150","2043","2097","296500","1048.5"
"2019-03-11","2081","2081","1956","2025","253000","1012.5"
"2019-03-12","2066","2121","2051","2120","214800","1060"
"2019-03-13","2096","2132","2072","2127","140800","1063.5"
"2019-03-14","2166","2166","2088","2115","158500","1057.5"
"2019-03-15","2100","2218","2040","2185","407400","1092.5"
"2019-03-18","2535","2685","2440","2685","987300","1342.5"
"2019-03-19","2674","2878","2642","2782","2926600","1391"
"2019-03-20","2733","2820","2715","2786","838100","1393"
"2019-03-22","2802","2877","2732","2751","613700","1375.5"
"2019-03-25","2718","2834","2710","2783","448600","1391.5"
"2019-03-26","2815","2828","2771","2805","196700","1402.5"
"2019-03-27","2838","2933","2823","2884","403700","1442"
"2019-03-28","2880","2930","2831","2914","292200","1457"
"2019-03-29","2928","2948","2815","2855","277200","1427.5"
"2019-04-01","2865","2897","2735","2748","314800","1374"
"2019-04-02","2798","2824","2683","2688","299600","1344"
"2019-04-03","2701","2744","2656","2733","195400","1366.5"
"2019-04-04","2738","2833","2687","2788","340500","1394"
"2019-04-05","2760","2788","2720","2745","138800","1372.5"
"2019-04-08","2782","2858","2772","2804","227100","1402"
"2019-04-09","2762","2830","2740","2794","131400","1397"
"2019-04-10","2788","2842","2762","2799","109400","1399.5"
"2019-04-11","2858","2873","2802","2849","237600","1424.5"
"2019-04-12","3030","3115","2886","3020","752100","1510"
"2019-04-15","3050","3265","3050","3105","488300","1552.5"
"2019-04-16","3105","3175","2991","3005","352200","1502.5"
"2019-04-17","3020","3040","2899","2927","252600","1463.5"
"2019-04-18","2931","2970","2854","2881","232200","1440.5"
"2019-04-19","2881","2980","2835","2980","195000","1490"
"2019-04-22","3000","3025","2901","2915","193000","1457.5"
"2019-04-23","2907","2931","2787","2826","303600","1413"
"2019-04-24","2826","2876","2781","2853","149900","1426.5"
"2019-04-25","2856","2930","2842","2922","156300","1461"
"2019-04-26","2931","2965","2898","2954","150600","1477"
"2019-05-07","2966","3070","2966","3060","246300","1530"
"2019-05-08","3005","3045","2915","3030","227400","1515"
"2019-05-09","3020","3080","2976","3030","202000","1515"
"2019-05-10","3040","3145","3025","3110","235100","1555"
"2019-05-13","3120","3140","3000","3085","157000","1542.5"
"2019-05-14","3000","3030","2940","2998","279200","1499"
"2019-05-15","2998","3095","2972","3095","143100","1547.5"
"2019-05-16","3070","3105","3005","3090","132500","1545"
"2019-05-17","3105","3200","3105","3200","162600","1600"
"2019-05-20","3220","3280","3120","3130","163900","1565"
"2019-05-21","3110","3160","3035","3140","159200","1570"
"2019-05-22","3150","3175","3090","3105","129500","1552.5"
"2019-05-23","3105","3145","3030","3035","128800","1517.5"
"2019-05-24","2995","3190","2962","3160","231900","1580"
"2019-05-27","3150","3215","3125","3175","196700","1587.5"
"2019-05-28","3185","3325","3145","3235","519400","1617.5"
"2019-05-29","3210","3230","3080","3105","236900","1552.5"
"2019-05-30","3150","3195","3000","3035","742200","1517.5"
"2019-05-31","3050","3240","3025","3185","477300","1592.5"
"2019-06-03","3150","3210","3045","3070","265900","1535"
"2019-06-04","3055","3070","2761","2773","636100","1386.5"
"2019-06-05","2760","2786","2701","2765","394300","1382.5"
"2019-06-06","2730","2855","2720","2727","330900","1363.5"
"2019-06-07","2749","2754","2683","2729","205600","1364.5"
"2019-06-10","2789","2829","2728","2774","219900","1387"
"2019-06-11","2782","2800","2737","2774","192000","1387"
"2019-06-12","2797","2873","2788","2840","355600","1420"
"2019-06-13","2840","2860","2743","2762","246200","1381"
"2019-06-14","2797","2839","2684","2831","437600","1415.5"
"2019-06-17","3035","3185","3000","3085","1189800","1542.5"
"2019-06-18","3080","3080","2765","2782","1303000","1391"
"2019-06-19","2800","2823","2603","2614","831900","1307"
"2019-06-20","2609","2620","2498","2533","832100","1266.5"
"2019-06-21","2563","2584","2510","2560","351100","1280"
"2019-06-24","2577","2583","2460","2557","432200","1278.5"
"2019-06-25","2551","2581","2490","2513","294500","1256.5"
"2019-06-26","2480","2512","2442","2442","201900","1221"
"2019-06-27","2421","2454","2378","2452","387400","1226"
"2019-06-28","2439","2471","2410","2427","340600","1213.5"
"2019-07-01","2462","2496","2431","2453","330500","1226.5"
"2019-07-02","2470","2578","2457","2565","460700","1282.5"
"2019-07-03","2580","2632","2491","2512","385800","1256"
"2019-07-04","2535","2656","2535","2647","546500","1323.5"
"2019-07-05","2626","2662","2598","2629","248500","1314.5"
"2019-07-08","2645","2645","2538","2554","272300","1277"
"2019-07-09","2552","2591","2511","2513","217500","1256.5"
"2019-07-10","2520","2554","2488","2501","218600","1250.5"
"2019-07-11","2498","2498","2423","2460","348400","1230"
"2019-07-12","2473","2504","2424","2428","135300","1214"
"2019-07-16","2409","2410","2333","2347","307000","1173.5"
"2019-07-17","2333","2432","2286","2421","372100","1210.5"
"2019-07-18","2423","2423","2367","2368","209700","1184"
"2019-07-19","2373","2457","2373","2390","197100","1195"
"2019-07-22","2386","2409","2343","2343","209500","1171.5"
"2019-07-23","2368","2397","2356","2379","175300","1189.5"
"2019-07-24","2380","2393","2346","2353","114400","1176.5"
"2019-07-25","2345","2353","2311","2325","109300","1162.5"
"2019-07-26","2330","2396","2330","2366","133100","1183"
"2019-07-29","2366","2380","2342","2348","88000","1174"
"2019-07-30","1180","1180","1129","1140","309900","1140"
"2019-07-31","1136","1186","1135","1172","328800","1172"
"2019-08-01","1169","1240","1166","1224","457100","1224"
"2019-08-02","1192","1208","1182","1193","279900","1193"
"2019-08-05","1180","1180","1108","1140","389900","1140"
"2019-08-06","1080","1129","1062","1128","246500","1128"
"2019-08-07","1135","1155","1112","1121","169700","1121"
"2019-08-08","1116","1121","1084","1104","230100","1104"
"2019-08-09","1102","1133","1098","1099","153200","1099"
"2019-08-13","1082","1116","1077","1104","254300","1104"
"2019-08-14","1115","1147","1112","1144","189500","1144"
"2019-08-15","1098","1107","1075","1083","258100","1083"
"2019-08-16","1078","1111","1065","1086","281100","1086"
"2019-08-19","1098","1165","1087","1156","323900","1156"
"2019-08-20","1162","1173","1119","1166","239200","1166"
"2019-08-21","1166","1170","1135","1153","222900","1153"
"2019-08-22","1166","1188","1155","1183","298400","1183"
"2019-08-23","1182","1199","1166","1195","206100","1195"
"2019-08-26","1146","1174","1137","1147","263300","1147"
"2019-08-27","1153","1203","1145","1183","220300","1183"
"2019-08-28","1185","1186","1140","1148","157900","1148"
"2019-08-29","1146","1153","1122","1137","212000","1137"
"2019-08-30","1150","1179","1150","1174","192800","1174"
"2019-09-02","1176","1193","1164","1183","150000","1183"
"2019-09-03","1177","1186","1148","1169","166500","1169"
"2019-09-04","1172","1244","1172","1227","611700","1227"
"2019-09-05","1246","1272","1233","1249","395000","1249"
"2019-09-06","1249","1249","1201","1234","224100","1234"
"2019-09-09","1240","1253","1229","1252","136800","1252"
"2019-09-10","1246","1248","1195","1200","322000","1200"
"2019-09-11","1193","1196","1165","1187","193900","1187"
"2019-09-12","1232","1279","1224","1242","569100","1242"
"2019-09-13","1245","1263","1220","1231","293100","1231"
"2019-09-17","1114","1146","1082","1086","697400","1086"
"2019-09-18","1075","1080","997","1006","1046800","1006"
"2019-09-19","1011","1021","981","1006","812300","1006"
"2019-09-20","1018","1022","1000","1000","654100","1000"
"2019-09-24","1001","1025","998","1003","401400","1003"
"2019-09-25","1005","1023","1001","1009","350800","1009"
"2019-09-26","1017","1019","1000","1001","316800","1001"
"2019-09-27","1005","1005","990","993","329500","993"
"2019-09-30","988","997","965","972","479800","972"
"2019-10-01","975","981","951","977","357600","977"
"2019-10-02","972","998","966","991","441200","991"
"2019-10-03","977","986","958","967","262800","967"
"2019-10-04","978","1004","970","1002","260600","1002"
"2019-10-07","1012","1028","1005","1020","297400","1020"
"2019-10-08","1030","1036","1018","1023","299200","1023"
"2019-10-09","1011","1041","1010","1038","344200","1038"
"2019-10-10","1029","1031","996","998","377500","998"
"2019-10-11","987","990","968","973","396900","973"
"2019-10-15","964","964","941","945","623900","945"
"2019-10-16","952","1003","948","992","607100","992"
"2019-10-17","986","1005","971","988","364600","988"
"2019-10-18","1001","1002","969","973","218100","973"
"2019-10-21","981","987","969","972","183600","972"
"2019-10-23","968","992","962","989","288400","989"
"2019-10-24","1002","1004","988","990","189300","990"
"2019-10-25","981","1003","976","1000","169200","1000"
"2019-10-28","1000","1016","993","995","192000","995"
"2019-10-29","981","981","953","959","788900","959"
"2019-10-30","965","973","947","956","345500","956"
"2019-10-31","959","971","950","957","284800","957"
"2019-11-01","961","981","960","970","367300","970"
"2019-11-05","979","988","963","965","380000","965"
"2019-11-06","960","961","930","933","517500","933"
"2019-11-07","935","953","921","953","409900","953"
"2019-11-08","956","972","941","947","323700","947"
"2019-11-11","954","971","953","963","248000","963"
"2019-11-12","974","990","967","985","330600","985"
"2019-11-13","992","1002","972","977","363800","977"
"2019-11-14","977","995","974","989","341700","989"
"2019-11-15","988","1007","972","1001","303000","1001"
"2019-11-18","1019","1032","1014","1029","439500","1029"
"2019-11-19","1024","1030","1004","1025","211800","1025"
"2019-11-20","1020","1035","1016","1027","152000","1027"
"2019-11-21","1020","1022","990","1006","209500","1006"
"2019-11-22","1010","1024","1005","1022","143600","1022"
"2019-11-25","1027","1047","1025","1035","339800","1035"
"2019-11-26","1049","1055","1033","1042","217500","1042"
"2019-11-27","1047","1062","1040","1059","196800","1059"
"2019-11-28","1065","1068","1053","1064","156900","1064"
"2019-11-29","1063","1063","1042","1053","155800","1053"
"2019-12-02","1062","1068","1048","1057","157100","1057"
"2019-12-04","1030","1052","1022","1037","181500","1037"
"2019-12-05","1037","1039","1005","1012","227900","1012"
"2019-12-06","1014","1034","1014","1032","178900","1032"
"2019-12-09","1037","1040","1013","1015","142000","1015"
"2019-12-10","1012","1024","1006","1009","149000","1009"
"2019-12-11","1003","1007","987","992","210800","992"
"2019-12-12","995","995","968","969","227200","969"
"2019-12-13","971","981","951","955","402000","955"
"2019-12-16","947","947","916","917","631600","917"
"2019-12-18","947","950","917","924","386000","924"
"2019-12-19","914","932","907","925","287100","925"
"2019-12-20","926","946","920","942","376600","942"
