3995 マザーズ (株)ＳＫＩＹＡＫＩ（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","438","534","438","534","162900","534"
"2019-01-07","541","634","541","610","433900","610"
"2019-01-08","600","665","579","665","341800","665"
"2019-01-09","665","668","617","630","166900","630"
"2019-01-10","700","730","660","696","636700","696"
"2019-01-11","686","719","664","682","139600","682"
"2019-01-15","662","750","636","747","152000","747"
"2019-01-16","750","756","713","728","139100","728"
"2019-01-17","730","778","726","747","167100","747"
"2019-01-18","740","777","708","727","152300","727"
"2019-01-21","712","733","652","657","137500","657"
"2019-01-22","637","735","637","690","168500","690"
"2019-01-23","676","718","676","694","58100","694"
"2019-01-24","694","700","669","684","59900","684"
"2019-01-25","682","683","663","666","54500","666"
"2019-01-28","655","680","638","670","69300","670"
"2019-01-29","661","671","620","636","132100","636"
"2019-01-30","616","616","552","565","194900","565"
"2019-01-31","575","592","554","562","94300","562"
"2019-02-01","555","585","555","584","57700","584"
"2019-02-04","604","622","592","597","117700","597"
"2019-02-05","598","610","581","603","78500","603"
"2019-02-06","598","602","583","585","52100","585"
"2019-02-07","584","587","555","576","64600","576"
"2019-02-08","558","571","552","559","37300","559"
"2019-02-12","549","591","549","586","40000","586"
"2019-02-13","592","595","574","589","35500","589"
"2019-02-14","575","587","561","583","45700","583"
"2019-02-15","596","618","557","560","117900","560"
"2019-02-18","560","589","560","582","41900","582"
"2019-02-19","583","631","583","596","89800","596"
"2019-02-20","603","618","587","606","71200","606"
"2019-02-21","606","618","598","617","43800","617"
"2019-02-22","615","645","604","615","57400","615"
"2019-02-25","621","644","613","640","54700","640"
"2019-02-26","640","673","627","638","147800","638"
"2019-02-27","641","673","641","670","90800","670"
"2019-02-28","680","701","595","603","431300","603"
"2019-03-01","630","655","603","637","334800","637"
"2019-03-04","657","737","645","737","1228000","737"
"2019-03-05","726","825","701","757","2065600","757"
"2019-03-06","750","805","705","799","937700","799"
"2019-03-07","785","840","771","795","873100","795"
"2019-03-08","840","888","733","751","2289700","751"
"2019-03-11","743","790","716","745","476200","745"
"2019-03-12","820","853","760","827","1706800","827"
"2019-03-13","817","875","801","869","951100","869"
"2019-03-14","880","885","780","795","1234000","795"
"2019-03-15","790","812","739","768","514800","768"
"2019-03-18","903","918","879","918","903400","918"
"2019-03-19","933","981","894","936","1919400","936"
"2019-03-20","936","1086","913","1086","1799300","1086"
"2019-03-22","1060","1137","979","1023","1557200","1023"
"2019-03-25","985","1042","963","1031","750000","1031"
"2019-03-26","1024","1037","968","1005","646200","1005"
"2019-03-27","996","1064","977","1029","792400","1029"
"2019-03-28","1025","1124","1007","1012","816500","1012"
"2019-03-29","1034","1100","1017","1098","725900","1098"
"2019-04-01","1083","1116","985","1007","867600","1007"
"2019-04-02","1035","1046","956","985","531700","985"
"2019-04-03","972","972","896","924","689600","924"
