4634 東証1部 東洋インキＳＣホールディングス(株)（化学）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2436","2456","2376","2404","111000","2404"
"2019-01-07","2488","2528","2486","2493","61800","2493"
"2019-01-08","2502","2528","2491","2501","68400","2501"
"2019-01-09","2524","2524","2467","2482","70500","2482"
"2019-01-10","2437","2477","2436","2461","61300","2461"
"2019-01-11","2489","2492","2444","2455","36500","2455"
"2019-01-15","2405","2481","2405","2474","40400","2474"
"2019-01-16","2467","2471","2428","2441","43400","2441"
"2019-01-17","2448","2477","2431","2445","45800","2445"
"2019-01-18","2461","2514","2448","2490","67300","2490"
"2019-01-21","2502","2526","2496","2525","52100","2525"
"2019-01-22","2549","2554","2516","2517","35000","2517"
"2019-01-23","2475","2509","2475","2493","35100","2493"
"2019-01-24","2471","2493","2457","2488","47600","2488"
"2019-01-25","2490","2548","2490","2523","63300","2523"
"2019-01-28","2534","2542","2490","2499","31100","2499"
"2019-01-29","2489","2518","2483","2505","52100","2505"
"2019-01-30","2513","2524","2490","2496","85600","2496"
"2019-01-31","2504","2520","2458","2464","104400","2464"
"2019-02-01","2463","2477","2442","2445","54600","2445"
"2019-02-04","2464","2491","2464","2490","74300","2490"
"2019-02-05","2482","2505","2480","2504","61700","2504"
"2019-02-06","2487","2512","2479","2486","54700","2486"
"2019-02-07","2463","2463","2406","2419","60900","2419"
"2019-02-08","2391","2427","2369","2418","75400","2418"
"2019-02-12","2439","2528","2436","2519","81000","2519"
"2019-02-13","2519","2564","2510","2563","50600","2563"
"2019-02-14","2526","2572","2526","2566","85100","2566"
"2019-02-15","2622","2625","2545","2592","72900","2592"
"2019-02-18","2612","2662","2612","2655","81100","2655"
"2019-02-19","2655","2679","2637","2665","57500","2665"
"2019-02-20","2665","2678","2634","2646","53800","2646"
"2019-02-21","2653","2657","2620","2629","81700","2629"
"2019-02-22","2613","2613","2590","2611","40800","2611"
"2019-02-25","2612","2643","2605","2643","83800","2643"
"2019-02-26","2647","2647","2608","2626","78900","2626"
"2019-02-27","2607","2619","2587","2611","84400","2611"
"2019-02-28","2611","2623","2576","2606","125300","2606"
"2019-03-01","2625","2638","2613","2621","98100","2621"
"2019-03-04","2644","2651","2601","2627","82900","2627"
"2019-03-05","2643","2652","2608","2625","92800","2625"
"2019-03-06","2625","2658","2603","2643","87300","2643"
"2019-03-07","2617","2624","2592","2603","53000","2603"
"2019-03-08","2561","2594","2537","2540","94500","2540"
"2019-03-11","2545","2561","2526","2531","65100","2531"
"2019-03-12","2555","2593","2555","2582","78000","2582"
"2019-03-13","2600","2604","2535","2537","71900","2537"
"2019-03-14","2544","2548","2474","2474","55400","2474"
"2019-03-15","2499","2536","2495","2513","63100","2513"
"2019-03-18","2530","2547","2515","2547","61400","2547"
"2019-03-19","2547","2553","2509","2523","86000","2523"
"2019-03-20","2534","2545","2507","2529","80500","2529"
"2019-03-22","2529","2572","2500","2566","182000","2566"
"2019-03-25","2534","2534","2433","2452","114000","2452"
"2019-03-26","2460","2568","2460","2561","125100","2561"
"2019-03-27","2578","2603","2559","2587","87000","2587"
"2019-03-28","2539","2555","2492","2501","59300","2501"
"2019-03-29","2516","2522","2481","2485","46300","2485"
"2019-04-01","2522","2616","2522","2577","95400","2577"
"2019-04-02","2627","2636","2577","2629","52500","2629"
"2019-04-03","2638","2652","2626","2651","42200","2651"
"2019-04-04","2660","2671","2632","2635","25800","2635"
"2019-04-05","2657","2661","2638","2659","27400","2659"
"2019-04-08","2670","2670","2617","2639","22500","2639"
"2019-04-09","2660","2663","2602","2632","30000","2632"
"2019-04-10","2608","2642","2595","2640","49800","2640"
"2019-04-11","2628","2634","2611","2625","17300","2625"
"2019-04-12","2640","2655","2635","2641","50100","2641"
"2019-04-15","2690","2723","2684","2691","68000","2691"
"2019-04-16","2682","2697","2650","2656","33300","2656"
"2019-04-17","2652","2711","2641","2701","52900","2701"
"2019-04-18","2732","2732","2643","2652","60300","2652"
"2019-04-19","2698","2698","2648","2656","16500","2656"
"2019-04-22","2646","2652","2627","2640","14500","2640"
"2019-04-23","2664","2693","2645","2674","46700","2674"
"2019-04-24","2689","2696","2658","2660","65800","2660"
"2019-04-25","2689","2689","2629","2668","69400","2668"
"2019-04-26","2635","2679","2611","2659","43800","2659"
"2019-05-07","2655","2658","2586","2586","56200","2586"
"2019-05-08","2536","2553","2490","2503","77900","2503"
"2019-05-09","2466","2476","2435","2435","68700","2435"
"2019-05-10","2450","2479","2396","2400","91900","2400"
"2019-05-13","2304","2349","2243","2305","91000","2305"
"2019-05-14","2250","2354","2250","2350","76900","2350"
"2019-05-15","2348","2369","2343","2366","74100","2366"
"2019-05-16","2348","2348","2291","2332","70000","2332"
"2019-05-17","2377","2417","2374","2404","68000","2404"
"2019-05-20","2407","2449","2404","2420","62100","2420"
"2019-05-21","2382","2400","2353","2376","39500","2376"
"2019-05-22","2371","2402","2341","2342","70700","2342"
"2019-05-23","2339","2345","2310","2326","47500","2326"
"2019-05-24","2310","2350","2300","2348","49900","2348"
"2019-05-27","2343","2361","2324","2324","37800","2324"
"2019-05-28","2307","2332","2304","2311","63800","2311"
"2019-05-29","2288","2317","2260","2305","55900","2305"
"2019-05-30","2282","2324","2282","2315","35000","2315"
"2019-05-31","2290","2297","2256","2262","65300","2262"
"2019-06-03","2233","2248","2220","2228","41400","2228"
"2019-06-04","2249","2301","2238","2300","77400","2300"
"2019-06-05","2364","2395","2337","2356","49100","2356"
"2019-06-06","2355","2365","2320","2338","68300","2338"
"2019-06-07","2342","2348","2318","2343","31500","2343"
"2019-06-10","2373","2381","2346","2375","49800","2375"
"2019-06-11","2395","2443","2380","2424","81500","2424"
"2019-06-12","2426","2437","2414","2421","40500","2421"
"2019-06-13","2386","2399","2328","2350","82800","2350"
"2019-06-14","2340","2340","2312","2327","66300","2327"
"2019-06-17","2316","2316","2287","2300","56700","2300"
"2019-06-18","2300","2322","2267","2269","43700","2269"
"2019-06-19","2300","2336","2298","2330","62000","2330"
"2019-06-20","2342","2342","2286","2296","61600","2296"
"2019-06-21","2294","2343","2291","2340","132300","2340"
"2019-06-24","2336","2365","2325","2345","88200","2345"
"2019-06-25","2349","2350","2295","2295","175600","2295"
"2019-06-26","2264","2297","2254","2268","67500","2268"
"2019-06-27","2269","2322","2269","2322","51100","2322"
"2019-06-28","2283","2331","2281","2327","65800","2327"
"2019-07-01","2390","2393","2355","2387","93600","2387"
"2019-07-02","2388","2410","2373","2396","70300","2396"
"2019-07-03","2365","2368","2347","2359","31300","2359"
"2019-07-04","2377","2402","2368","2399","31900","2399"
"2019-07-05","2387","2393","2368","2376","31100","2376"
"2019-07-08","2360","2369","2333","2342","43000","2342"
"2019-07-09","2340","2352","2328","2345","76200","2345"
"2019-07-10","2317","2329","2306","2315","83300","2315"
"2019-07-11","2341","2369","2330","2357","65600","2357"
"2019-07-12","2353","2372","2346","2356","45100","2356"
