7073 マザーズ (株)ジェイック（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-10-29","10320","13320","10110","12650","698800","12650"
"2019-10-30","12060","14500","10000","10380","1116000","10380"
"2019-10-31","10400","11180","8930","8950","464300","8950"
"2019-11-01","9000","9290","8150","8280","296300","8280"
"2019-11-05","8600","8780","8100","8110","198400","8110"
"2019-11-06","8260","9550","8210","9190","746000","9190"
"2019-11-07","9110","9680","8720","8740","400100","8740"
"2019-11-08","8710","9150","8190","8490","367700","8490"
"2019-11-11","8550","8850","8440","8560","80500","8560"
"2019-11-12","8560","8560","8000","8000","50200","8000"
"2019-11-13","8080","8100","7350","7350","70700","7350"
"2019-11-14","7370","7720","7370","7500","38500","7500"
"2019-11-15","7590","7590","7330","7480","14000","7480"
"2019-11-18","7500","7610","7460","7530","12100","7530"
"2019-11-19","7500","8110","7480","7940","50700","7940"
"2019-11-20","7940","8080","7660","7960","36500","7960"
"2019-11-21","7960","8300","7850","8230","25800","8230"
"2019-11-22","8280","8390","8010","8010","25200","8010"
"2019-11-25","8070","8160","7760","7810","18200","7810"
"2019-11-26","7830","7950","7700","7740","15400","7740"
"2019-11-27","7850","8360","7760","8330","69200","8330"
"2019-11-28","8190","8350","8030","8080","25300","8080"
"2019-11-29","8080","8230","8030","8170","12000","8170"
"2019-12-02","8250","9600","8250","9070","216000","9070"
"2019-12-04","9220","9360","8960","9170","44300","9170"
"2019-12-05","9620","9730","8830","8900","102500","8900"
"2019-12-06","8970","8970","8540","8600","34500","8600"
"2019-12-09","8700","8740","8330","8450","21000","8450"
"2019-12-10","8400","8580","8350","8420","12500","8420"
"2019-12-11","8570","8800","8570","8770","35700","8770"
"2019-12-12","8900","8920","8600","8730","21400","8730"
"2019-12-13","8730","8770","8470","8600","17000","8600"
"2019-12-16","7700","7960","7540","7780","45100","7780"
"2019-12-18","7750","7900","7750","7760","9000","7760"
"2019-12-19","7840","8490","7800","8110","32100","8110"
"2019-12-20","8120","8240","7990","8000","8900","8000"
