8803 東証1部 平和不動産(株)（不動産業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","1722","1769","1720","1762","138700","1762"
"2019-01-07","1802","1841","1800","1831","162500","1831"
"2019-01-08","1818","1837","1795","1829","146800","1829"
"2019-01-09","1824","1824","1795","1804","199500","1804"
"2019-01-10","1789","1827","1780","1801","121400","1801"
"2019-01-11","1821","1826","1804","1819","75000","1819"
"2019-01-15","1802","1836","1802","1832","79200","1832"
"2019-01-16","1830","1847","1826","1845","77100","1845"
"2019-01-17","1846","1861","1843","1853","71100","1853"
"2019-01-18","1870","1906","1868","1893","103100","1893"
"2019-01-21","1893","1908","1893","1907","61300","1907"
"2019-01-22","1913","1916","1896","1903","72400","1903"
"2019-01-23","1873","1903","1869","1888","80000","1888"
"2019-01-24","1889","1908","1880","1902","50600","1902"
"2019-01-25","1897","1911","1893","1893","96400","1893"
"2019-01-28","1933","1935","1896","1911","219200","1911"
"2019-01-29","1902","1934","1898","1930","112100","1930"
"2019-01-30","1960","2011","1933","1999","336800","1999"
"2019-01-31","2000","2008","1989","2007","265700","2007"
"2019-02-01","2007","2030","1996","2000","141200","2000"
"2019-02-04","2008","2062","2006","2062","122600","2062"
"2019-02-05","2100","2108","2068","2072","116100","2072"
"2019-02-06","2090","2119","2085","2107","124500","2107"
"2019-02-07","2092","2094","2060","2068","73500","2068"
"2019-02-08","2050","2067","2030","2044","101400","2044"
"2019-02-12","2085","2090","2042","2062","144900","2062"
"2019-02-13","2061","2063","2013","2036","136700","2036"
"2019-02-14","2020","2054","2020","2047","120900","2047"
"2019-02-15","2024","2037","2005","2024","116100","2024"
"2019-02-18","2047","2064","2008","2014","63900","2014"
"2019-02-19","2018","2041","2012","2040","57100","2040"
"2019-02-20","2034","2044","2016","2027","79800","2027"
"2019-02-21","2028","2074","2025","2068","117700","2068"
"2019-02-22","2068","2073","2036","2073","69900","2073"
"2019-02-25","2080","2080","2046","2056","99900","2056"
"2019-02-26","2066","2103","2066","2103","81300","2103"
"2019-02-27","2109","2114","2093","2100","80000","2100"
"2019-02-28","2099","2126","2093","2115","94100","2115"
"2019-03-01","2116","2143","2109","2133","66800","2133"
"2019-03-04","2159","2180","2139","2149","103500","2149"
"2019-03-05","2130","2131","2105","2110","57400","2110"
"2019-03-06","2113","2123","2098","2102","48100","2102"
"2019-03-07","2083","2107","2076","2105","96700","2105"
"2019-03-08","2085","2112","2081","2090","156400","2090"
"2019-03-11","2093","2122","2087","2105","78900","2105"
"2019-03-12","2119","2183","2113","2180","119700","2180"
"2019-03-13","2162","2173","2126","2137","85600","2137"
"2019-03-14","2166","2168","2130","2130","71900","2130"
"2019-03-15","2147","2152","2114","2145","146300","2145"
"2019-03-18","2164","2175","2143","2171","84300","2171"
"2019-03-19","2175","2175","2127","2149","60800","2149"
"2019-03-20","2160","2175","2142","2155","63200","2155"
"2019-03-22","2174","2174","2151","2172","75200","2172"
"2019-03-25","2150","2157","2126","2142","104400","2142"
"2019-03-26","2161","2195","2146","2195","165700","2195"
"2019-03-27","2120","2158","2120","2136","159400","2136"
"2019-03-28","2112","2126","2093","2110","112800","2110"
"2019-03-29","2110","2136","2110","2131","94600","2131"
"2019-04-01","2142","2148","2129","2139","116000","2139"
"2019-04-02","2163","2165","2111","2116","111000","2116"
"2019-04-03","2100","2100","2065","2078","142000","2078"
"2019-04-04","2060","2064","2032","2050","153300","2050"
"2019-04-05","2048","2062","2032","2043","174300","2043"
