8925 東証2部 (株)アルデプロ（不動産業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","41","43","41","42","649500","42"
"2019-01-07","44","45","43","44","542900","44"
"2019-01-08","44","51","44","49","2567600","49"
"2019-01-09","50","50","47","47","858000","47"
"2019-01-10","47","47","46","46","471500","46"
"2019-01-11","47","47","46","46","425200","46"
"2019-01-15","46","47","46","47","409700","47"
"2019-01-16","47","48","47","47","264100","47"
"2019-01-17","47","51","46","50","1745100","50"
"2019-01-18","50","50","48","49","659000","49"
"2019-01-21","50","50","48","48","859800","48"
"2019-01-22","49","49","47","47","270700","47"
"2019-01-23","47","49","46","48","779800","48"
"2019-01-24","48","49","46","46","554400","46"
"2019-01-25","46","47","44","47","1278100","47"
"2019-01-28","47","47","45","46","485400","46"
"2019-01-29","47","47","45","46","534200","46"
"2019-01-30","46","47","44","45","681600","45"
"2019-01-31","46","46","45","45","333800","45"
"2019-02-01","46","46","44","44","545800","44"
"2019-02-04","44","45","44","44","776500","44"
"2019-02-05","44","46","43","44","1291100","44"
"2019-02-06","44","45","44","44","317300","44"
"2019-02-07","45","46","44","44","658300","44"
"2019-02-08","44","45","43","43","677600","43"
"2019-02-12","43","45","43","43","823100","43"
"2019-02-13","44","46","44","45","1888500","45"
"2019-02-14","46","46","43","44","1393100","44"
"2019-02-15","43","44","42","43","1402000","43"
"2019-02-18","43","44","42","42","809800","42"
"2019-02-19","43","43","42","42","319600","42"
"2019-02-20","43","44","42","43","520300","43"
"2019-02-21","43","44","43","44","338700","44"
"2019-02-22","43","44","43","43","394300","43"
"2019-02-25","43","46","43","44","2254200","44"
"2019-02-26","44","45","43","43","1756900","43"
"2019-02-27","44","47","42","45","2418000","45"
"2019-02-28","45","47","44","44","1295900","44"
"2019-03-01","45","45","43","45","1072500","45"
"2019-03-04","45","46","44","46","400800","46"
"2019-03-05","45","46","44","44","661500","44"
"2019-03-06","44","45","44","45","141000","45"
"2019-03-07","44","45","44","44","408100","44"
"2019-03-08","43","44","43","43","419800","43"
"2019-03-11","43","44","43","43","263400","43"
"2019-03-12","44","45","43","45","1020000","45"
"2019-03-13","45","45","43","45","815600","45"
"2019-03-14","44","45","43","44","632000","44"
"2019-03-15","43","44","42","42","1324400","42"
"2019-03-18","42","43","41","42","1388100","42"
"2019-03-19","43","43","42","43","597700","43"
"2019-03-20","42","43","42","42","272400","42"
"2019-03-22","42","43","41","41","274100","41"
"2019-03-25","41","42","40","40","2200500","40"
"2019-03-26","41","41","39","40","1646400","40"
"2019-03-27","40","42","39","40","1088500","40"
"2019-03-28","40","41","40","40","437000","40"
"2019-03-29","40","41","40","40","522300","40"
"2019-04-01","41","42","41","41","580300","41"
"2019-04-02","40","41","40","40","812600","40"
"2019-04-03","40","41","40","41","400500","41"
"2019-04-04","40","41","40","40","579600","40"
"2019-04-05","41","41","39","41","394900","41"
"2019-04-08","41","41","40","41","429300","41"
"2019-04-09","40","41","40","41","352600","41"
"2019-04-10","40","41","40","41","279400","41"
"2019-04-11","40","41","40","40","168100","40"
"2019-04-12","40","41","40","40","241200","40"
"2019-04-15","40","41","40","41","456900","41"
"2019-04-16","41","41","40","40","210700","40"
